"","numSunkCost","numLessMore","LW_DV","numDisease","numDefault","SunkCondition","LessMoreCondition","numLW_IV","DiseaseCondition","DefaultCondition","numINCOME","numEDU","numPolitical","lgnumHOURS","AGE","CRTScore","BNT","ATTN","numGENDER","SUNK_FAM","LESSMORE_FAM","LW_FAM","DISEASE_FAM","DEFAULT_FAM","BNT_FAM","CRT_FAM","TIME_SUNK_Page.Submit.lg","TIME_LESSMORE_Page.Submit.lg","TIME_LW_DV_Page.Submit.lg","TIME_DISEASE_Page.Submit.lg","TIME_DEFAULT_Page.Submit.lg","TIME_SUNK_Page.Submit","TIME_LESSMORE_Page.Submit","TIME_LW_DV_Page.Submit","TIME_DISEASE_Page.Submit","TIME_DEFAULT_Page.Submit","Panel","dates_api"
"196",9,7,1,0,1,"PAID","SCARF",2.77583285929364,"GAIN","OPTIN",5,2,4,5.29831736654804,65,0,1,2,1,1,1,3,1,1,1,3,2.33679326432378,2.56894137873107,1.49716466995131,3.07255441615528,2.94517554993684,10.348,13.052,4.469,21.597,19.014,"Blended","2022-03-28"
"197",9,7,2,1,0,"FREE","COAT",3.07272398946742,"LOSS","OPTNEUTRAL",75,3,4,3.65646639854054,59,1,1,2,1,1,1,1,1,1,3,5,2.20596405438962,2.4842397608003,1.43651207728051,3.09738592728049,2.1579060816246,9.079,11.992,4.206,22.14,8.653,"Blended","2022-03-28"
"198",9,7,2,1,1,"PAID","SCARF",2.73662082323295,"LOSS","OPTOUT",65,5,6,-0.693147180559945,23,0,1,2,1,1,1,1,1,1,1,1,1.99999240780651,2.55388841010211,1.3496303767483,2.96331238229788,2.81012532576851,7.389,12.857,3.856,19.362,16.612,"Blended","2022-03-28"
"199",5,3,3,0,0,"PAID","SCARF",3.12473995567037,"LOSS","OPTIN",25,2,3,2.484906649788,40,0,1,1,0,2,1,1,3,1,2,1,2.4322966995157,1.5993875765806,1.09594206011223,1.97421990526673,0.720275847948198,11.385,4.95,2.992,7.201,2.055,"Blended","2022-03-28"
"200",9,7,4,0,1,"PAID","SCARF",2.83545115901856,"LOSS","OPTOUT",35,2,5,4.78749174278205,43,0,1,2,1,1,1,1,1,1,1,1,2.29978116566131,3.03076152247339,1.18692836971668,3.09090608042359,2.91283967546442,9.972,20.713,3.277,21.997,18.409,"Blended","2022-03-28"
"201",6,2,3,0,1,"PAID","COAT",2.75462634999551,"LOSS","OPTIN",65,5,1,4.02535169073515,59,1,1,2,0,1,1,1,1,1,1,1,2.48640552591174,2.97000412498126,1.40487074669283,3.3739974617355,3.51767586305383,12.018,19.492,4.075,29.195,33.706,"Blended","2022-03-28"
"202",5,7,3,0,0,"PAID","SCARF",3.25638036244554,"GAIN","OPTIN",15,3,6,4.02535169073515,22,0,1,1,1,2,1,1,2,1,1,1,3.14415227867226,3.30200300144208,1.28757838818073,3.51312627819801,3.70339854021314,23.2,27.167,3.624,33.553,40.585,"Blended","2022-03-28"
"203",4,6,2,0,0,"PAID","COAT",2.95828886382092,"LOSS","OPTNEUTRAL",65,5,5,4.02535169073515,63,1,1,1,0,3,3,3,1,3,3,5,2.71456228471743,2.88194748424737,1.52931186795482,2.65401631260972,2.73592473786819,15.098,17.849,4.615,14.211,15.424,"Blended","2022-03-28"
"204",6,6,2,0,1,"FREE","COAT",2.70421087506034,"GAIN","OPTNEUTRAL",55,4,4,5.29831736654804,71,0,4,2,1,1,1,1,1,3,1,1,2.3336960880191,3.51050011655261,1.83545732449377,2.27336223431714,2.67649073219444,10.316,33.465,6.268,9.712,14.534,"Blended","2022-03-28"
"205",4,4,3,0,0,"PAID","SCARF",3.06792251566407,"GAIN","OPTNEUTRAL",55,5,4,2.484906649788,36,0,1,2,1,3,3,3,3,3,3,5,0.969262616640261,2.74096904785932,1.10724161536616,5.52379419365592,0.963174317773006,2.636,15.502,3.026,250.584,2.62,"Blended","2022-03-28"
"206",5,4,4,0,0,"FREE","COAT",2.81624526380516,"LOSS","OPTIN",175,7,1,2.484906649788,31,0,1,1,0,3,3,3,3,3,2,5,4.9357465043633,2.51930807650533,1.99047370661909,2.06293098955285,2.95225049494203,139.177,12.42,7.319,7.869,19.149,"Blended","2022-03-28"
"207",3,7,4,0,0,"PAID","SCARF",2.96148984635649,"GAIN","OPTIN",5,2,3,1.79175946922805,41,0,1,1,1,1,1,3,3,1,1,5,3.23612617827473,3.25029696954294,1.53234086204913,3.01773835381661,3.36193666770885,25.435,25.798,4.629,20.445,28.845,"Blended","2022-03-28"
"208",7,6,4,0,1,"FREE","COAT",2.61338299561364,"GAIN","OPTOUT",35,5,1,4.02535169073515,62,1,1,2,1,1,1,1,1,1,1,1,2.27243511604316,2.52580864110843,1.14358565431084,2.53734095963642,3.21019828367451,9.703,12.501,3.138,12.646,24.784,"Blended","2022-03-28"
"209",5,7,2,0,1,"FREE","COAT",2.91747633649245,"GAIN","OPTNEUTRAL",5,1,5,4.78749174278205,46,1,1,2,0,1,1,1,1,1,1,1,3.11284842022267,3.216192227239,1.90598061331808,2.98780090322771,3.37550343457035,22.485,24.933,6.726,19.842,29.239,"Blended","2022-03-28"
"210",1,7,1,0,1,"FREE","SCARF",2.99550028579688,"GAIN","OPTNEUTRAL",45,2,1,3.65646639854054,72,2,2,2,0,1,1,1,1,3,1,1,2.68280076684876,2.95589937305227,1.74396880539171,3.65999117702015,2.69611256352917,14.626,19.219,5.72,38.861,14.822,"Blended","2022-03-28"
"211",1,3,2,1,1,"FREE","COAT",2.9842968469224,"GAIN","OPTOUT",45,3,5,4.02535169073515,76,1,1,1,0,1,2,2,1,1,1,1,2.35631541541501,2.41117040340749,1.63607984338052,2.4494521688036,2.95193711355432,10.552,11.147,5.135,11.582,19.143,"Blended","2022-03-28"
"212",5,4,2,1,1,"FREE","SCARF",2.84225324690664,"LOSS","OPTOUT",5,1,4,3.17805383034795,33,0,1,1,1,2,2,2,2,2,2,2,0.878796527446575,1.06436584993952,0.0582689081239758,1.92570744173779,1.68602851459581,2.408,2.899,1.06,6.86,5.398,"Blended","2022-03-28"
"214",1,7,3,0,1,"FREE","COAT",2.77543273647669,"LOSS","OPTIN",85,5,1,-0.693147180559945,41,0,2,2,1,1,1,1,1,1,1,1,2.32336763217657,3.12561953438841,1.47613506511968,3.30016083748438,3.05400118167797,10.21,22.774,4.376,27.117,21.2,"Blended","2022-03-28"
