voice,tmean,Time_s,F0_Hz
40,246.165140748091,246.125198,110.890329
40,246.165140748091,246.135198,108.933099
40,246.165140748091,246.145198,108.256859
40,246.165140748091,246.155198,110.771962
40,246.165140748091,246.165198,111.134599
40,246.165140748091,246.175198,110.975724
40,246.165140748091,246.185198,110.439369
40,246.165140748091,246.195198,109.613661
40,246.165140748091,246.205198,108.715973
40,246.165140748091,246.215198,107.899153
40,246.165140748091,246.225198,107.825912
40,246.165140748091,246.235198,107.652962
40,246.165140748091,246.245198,107.604089
40,246.165140748091,246.255198,107.854669
40,246.165140748091,246.265198,106.813475
40,246.165140748091,246.275198,105.818922
40,246.165140748091,246.285198,91.58728
40,246.165140748091,246.405198,115.133791
40,246.165140748091,246.415198,122.382206
40,246.165140748091,246.515198,165.298199
40,246.165140748091,246.525198,164.067089
40,246.165140748091,246.535198,164.188725
40,246.165140748091,246.545198,164.134228
40,246.165140748091,246.555198,162.394661
40,246.165140748091,246.565198,159.626667
40,246.165140748091,246.575198,143.647966
40,246.165140748091,246.655198,150.644212
40,246.165140748091,246.665198,142.319745
40,246.165140748091,246.675198,136.966009
40,246.165140748091,246.685198,134.094972
40,246.165140748091,246.695198,131.198528
40,246.165140748091,246.705198,129.103527
40,246.165140748091,246.715198,127.707767
40,246.165140748091,246.725198,126.79487
40,246.165140748091,246.735198,125.956662
40,246.165140748091,246.745198,124.824023
40,246.165140748091,246.755198,123.657639
40,246.165140748091,246.765198,123.124637
40,246.165140748091,246.775198,122.641368
40,246.165140748091,246.785198,122.096408
40,246.165140748091,246.795198,121.756781
40,246.165140748091,246.805198,121.326022
40,246.165140748091,246.815198,120.864921
40,246.165140748091,246.825198,120.176532
40,246.165140748091,246.835198,119.305404
40,246.165140748091,246.845198,118.637861
40,246.165140748091,246.855198,117.421335
40,246.165140748091,246.865198,116.766782
40,246.165140748091,246.875198,116.857748
40,246.165140748091,246.885198,116.919162
40,246.165140748091,246.895198,117.364475
40,246.165140748091,246.905198,117.591907
40,246.165140748091,246.915198,117.584648
40,246.165140748091,246.925198,117.401031
40,246.165140748091,246.935198,115.927133
40,246.165140748091,246.945198,114.58459
40,246.165140748091,246.955198,113.625644
40,246.165140748091,246.965198,113.029839
40,246.165140748091,246.975198,112.359925
40,246.165140748091,246.985198,111.305273
40,246.165140748091,246.995198,110.585281
40,246.165140748091,247.005198,109.592246
40,246.165140748091,247.015198,109.685198
40,246.165140748091,247.025198,107.159807
40,246.165140748091,247.035198,108.848072
40,246.165140748091,247.045198,111.026486
40,246.165140748091,247.055198,110.752483
40,246.165140748091,247.065198,107.175638
40,246.165140748091,247.075198,102.442033
40,246.165140748091,247.115198,128.913368
40,246.165140748091,247.125198,124.0057
40,246.165140748091,247.135198,120.853402
40,246.165140748091,247.145198,118.513807
40,246.165140748091,247.155198,114.901961
40,246.165140748091,247.165198,113.200004
40,246.165140748091,247.175198,113.662523
40,246.165140748091,247.185198,113.323203
40,246.165140748091,247.195198,111.621715
40,246.165140748091,247.205198,110.28251
40,246.165140748091,247.215198,109.119904
40,246.165140748091,247.225198,108.522286
40,246.165140748091,247.235198,108.921447
40,246.165140748091,247.245198,109.053732
40,246.165140748091,247.255198,108.298366
40,246.165140748091,247.265198,108.359667
40,246.165140748091,247.275198,108.12181
40,246.165140748091,247.285198,108.549383
40,246.165140748091,247.295198,108.393556
40,246.165140748091,247.305198,106.828033
40,246.165140748091,247.315198,104.172214
40,246.165140748091,247.325198,99.553069
40,246.165140748091,247.405198,98.644378
40,246.165140748091,247.415198,104.240233
40,246.165140748091,247.425198,106.179974
40,246.165140748091,247.435198,107.087248
40,246.165140748091,247.445198,108.017423
40,246.165140748091,247.455198,107.245998
40,246.165140748091,247.465198,107.104963
40,246.165140748091,247.475198,106.988587
40,246.165140748091,247.485198,107.967989
